EXPERIMENT: Exp1-4KNN (nodeList: input/real_input/dblp_yoj_2000_nodelist.txt, edgelist: input/real_input/dblp_yoj_2000_edgelist.txt)
alpha1,alpha2,correlation,p-value,vectorFile
0.1,0.1,-0.029497434867853185,0.39661032909335336,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.1_.txt
0.6,0.05,-0.021289441425807912,0.5407049539905179,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.05_.txt
0.95,0.9,-0.024552118089380973,0.4804829657490079,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.9_.txt
0.1,0.05,-0.02562821651767792,0.46145169120882756,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.05_.txt
0.8,0.7,-0.017986866157249252,0.6052735883786955,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.7_.txt
0.1,0.2,-0.021362347586191835,0.5393192567160778,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.2_.txt
0.9,0.5,-0.028699386415887162,0.4095153361771631,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.5_.txt
0.5,0.3,-0.0187866512608941,0.5893234784965847,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.3_.txt
0.95,0.4,-0.03732791710747341,0.28333319390128964,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.4_.txt
0.8,0.6,-0.0236223711032565,0.497263762813475,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.6_.txt
0.05,0.2,-0.006987377709998351,0.840885911305563,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.2_.txt
0.05,0.5,-0.015590361744304828,0.6541806281158504,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.5_.txt
0.9,0.95,-0.019394982983678068,0.5773226592273495,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.95_.txt
0.05,0.95,0.027933230076989845,0.42213615677992783,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.95_.txt
0.3,0.4,-0.013599394777076564,0.6959825309987038,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.4_.txt
0.7,0.3,-0.02259125656768311,0.5162324085883052,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.3_.txt
0.9,0.8,-0.018070778836488402,0.6035910778611168,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.8_.txt
0.3,0.3,-0.018572504707202047,0.593575203229993,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.3_.txt
0.1,0.8,0.003862599987781358,0.9116331764717288,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.8_.txt
0.6,0.1,-0.02559135638065107,0.46209654948760126,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.1_.txt
0.6,0.95,-0.012158378509213679,0.7268328796249625,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.95_.txt
0.3,0.7,-0.011479994420869393,0.7415144079604973,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.7_.txt
0.6,0.7,-0.022227388519883262,0.5230145135721709,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.7_.txt
0.5,0.9,-0.016341248402052533,0.6386835350514717,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.9_.txt
0.7,0.05,-0.032457410433198136,0.3509250704311322,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.05_.txt
0.6,0.2,-0.022899081440151303,0.5105306372039939,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.2_.txt
0.5,0.1,-0.01713432009407822,0.622485244584578,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.1_.txt
0.4,0.5,-0.012985922105968252,0.7090583949719239,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.5_.txt
0.8,0.9,-0.01862095900644975,0.5926119519584611,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.9_.txt
0.4,0.6,-0.017440746416719503,0.6162745373736833,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.6_.txt
0.2,0.1,-0.0027112446766978625,0.9379089361375494,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.1_.txt
0.4,0.4,-0.012659910085166644,0.7160424494761936,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.4_.txt
0.1,0.9,0.0152250913642012,0.6617739005399591,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.9_.txt
0.3,0.1,-0.011655381342430146,0.7377094395906925,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.1_.txt
0.2,0.4,0.0017643242725274288,0.9595711469125069,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.4_.txt
0.1,0.4,-0.011576993545411467,0.7394092536428684,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.4_.txt
0.4,0.95,-0.017031055429066626,0.6245843188385369,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.95_.txt
0.3,0.6,-0.007618477716367615,0.8267329246266116,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.6_.txt
0.05,0.6,0.0003861654634959369,0.9911475562414525,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.6_.txt
0.6,0.5,-0.022492333118035238,0.5180717184171372,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.5_.txt
0.6,0.4,-0.02582857621311185,0.4579552423874061,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.4_.txt
0.95,0.1,-0.02597470832360562,0.4554144974765127,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.1_.txt
0.3,0.5,-0.015284369739770758,0.6605392274733441,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.5_.txt
0.05,0.3,-0.0071020233095940855,0.838310920088822,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.3_.txt
0.8,0.05,-0.029419864495171123,0.39785384130261015,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.05_.txt
0.9,0.7,-0.024910816117063195,0.47409221498750875,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.7_.txt
0.7,0.9,-0.01703506661232885,0.624502726062195,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.9_.txt
0.9,0.4,-0.028724714672613234,0.4091019680246263,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.4_.txt
0.4,0.3,-0.014190549932582702,0.6834670809636763,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.3_.txt
0.05,0.8,0.0027655160699971114,0.936668633062247,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.8_.txt
0.3,0.8,-0.013717146092551397,0.6934828640493487,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.8_.txt
0.2,0.9,0.0027637283098988176,0.9367094875993555,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.9_.txt
0.9,0.3,-0.032996478763715156,0.34297819388885414,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.3_.txt
0.5,0.95,-0.01664444558301624,0.6324699130244381,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.95_.txt
