EXPERIMENT: Exp1-4dummyAnalysis (nodeList: input/real_input/dblp_yoj_2000_nodelist.txt, edgelist: input/real_input/dblp_yoj_2000_edgelist.txt)
alpha1,alpha2,mean,std,vectorFile
0.1,0.1,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.1_.txt
0.6,0.05,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.05_.txt
0.95,0.9,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.9_.txt
0.1,0.05,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.05_.txt
0.8,0.7,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.7_.txt
0.1,0.2,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.2_.txt
0.9,0.5,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.5_.txt
0.5,0.3,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.3_.txt
0.95,0.4,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.4_.txt
0.8,0.6,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.6_.txt
0.05,0.2,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.2_.txt
0.05,0.5,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.5_.txt
0.9,0.95,-35.08520620025718,2.3533831417411704,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.95_.txt
