EXPERIMENT: Exp1-4KNNK15
alpha1,alpha2,accuracy,std,vectorFile
0.1,0.1,-31.54154464516647,2.2286829656442895,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.1_.txt
0.6,0.05,-33.29020315519624,2.0843647941141774,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.05_.txt
0.95,0.9,-33.51711864284918,1.738858392932989,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.9_.txt
0.1,0.05,-32.110672473834825,2.0203772745020787,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.05_.txt
0.8,0.7,-33.39271363534813,2.0844093991139454,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.7_.txt
0.1,0.2,-31.43971950863402,2.125254225065447,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.2_.txt
0.9,0.5,-33.36228272278563,1.7701856584851516,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.5_.txt
0.5,0.3,-32.8669464980636,1.2211202618384573,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.3_.txt
0.95,0.4,-33.44726577362259,1.5239522954943634,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.4_.txt
0.8,0.6,-33.211898424671396,2.1155281880960146,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.6_.txt
0.05,0.2,-31.052436588899194,2.0462811525941507,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.2_.txt
0.05,0.5,-32.508866307506125,1.9735600752791445,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.5_.txt
0.9,0.95,-33.082360736540956,1.8398480733844638,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.95_.txt
0.05,0.95,-31.539170698803026,1.7424946928813376,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.95_.txt
0.3,0.4,-30.8193261385815,1.777385506155931,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.4_.txt
0.7,0.3,-33.20097123681836,1.965624158128987,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.3_.txt
0.9,0.8,-33.5126567001104,2.1810371669933484,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.8_.txt
0.3,0.3,-30.884391761821462,1.9213216024286761,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.3_.txt
