EXPERIMENT: Exp1-4(nodeList: input/real_input/dblp_yoj_2000_nodelist.txt, edgelist: input/real_input/dblp_yoj_2000_edgelist.txt)
alpha1,alpha2,correlation,p-value,vectorFile
0.05,0.05,-0.017419913010990606,0.6166959319917604,output_files/vectors/vectorsExp1-4_0.05_0.05.txt
0.05,0.1,-0.005284697300997216,0.8793143643357183,output_files/vectors/vectorsExp1-4_0.05_0.1.txt
0.05,0.2,-0.00671009467033459,0.8471207889290039,output_files/vectors/vectorsExp1-4_0.05_0.2.txt
0.05,0.3,-0.0071020233095940855,0.838310920088822,output_files/vectors/vectorsExp1-4_0.05_0.3.txt
0.05,0.4,-0.016263188464510223,0.6402873999199924,output_files/vectors/vectorsExp1-4_0.05_0.4.txt
0.05,0.5,-0.015590361744304828,0.6541806281158504,output_files/vectors/vectorsExp1-4_0.05_0.5.txt
0.05,0.6,0.0003861654634959334,0.9911475562414525,output_files/vectors/vectorsExp1-4_0.05_0.6.txt
0.05,0.7,-0.00568630115720542,0.870221305966213,output_files/vectors/vectorsExp1-4_0.05_0.7.txt
0.05,0.8,0.0027655160699971114,0.936668633062247,output_files/vectors/vectorsExp1-4_0.05_0.8.txt
0.05,0.9,-0.022266798594591988,0.5222777538032102,output_files/vectors/vectorsExp1-4_0.05_0.9.txt
0.05,0.95,0.027933230076989845,0.42213615677992783,output_files/vectors/vectorsExp1-4_0.05_0.95.txt
0.1,0.05,-0.025633229694953588,0.461364025787703,output_files/vectors/vectorsExp1-4_0.1_0.05.txt
0.1,0.1,-0.033981043874978925,0.3287627432862664,output_files/vectors/vectorsExp1-4_0.1_0.1.txt
0.1,0.2,-0.021463215018029943,0.5374050435007159,output_files/vectors/vectorsExp1-4_0.1_0.2.txt
0.1,0.3,-0.016808395805948128,0.6291206927016768,output_files/vectors/vectorsExp1-4_0.1_0.3.txt
0.1,0.4,-0.011576993545411467,0.7394092536428684,output_files/vectors/vectorsExp1-4_0.1_0.4.txt
0.1,0.5,-0.00867535968931623,0.8031589375716771,output_files/vectors/vectorsExp1-4_0.1_0.5.txt
0.1,0.6,-0.009346908181743002,0.7882708129421679,output_files/vectors/vectorsExp1-4_0.1_0.6.txt
0.1,0.7,-0.013316790771578536,0.7019951720533657,output_files/vectors/vectorsExp1-4_0.1_0.7.txt
0.1,0.8,0.003862599987781358,0.9116331764717288,output_files/vectors/vectorsExp1-4_0.1_0.8.txt
0.1,0.9,0.0152250913642012,0.6617739005399591,output_files/vectors/vectorsExp1-4_0.1_0.9.txt
0.1,0.95,0.008875131062657832,0.7987223162008582,output_files/vectors/vectorsExp1-4_0.1_0.95.txt
0.2,0.05,-0.0023615066584666417,0.9459052269181772,output_files/vectors/vectorsExp1-4_0.2_0.05.txt
0.2,0.1,-0.0026776331315163156,0.9386771604896181,output_files/vectors/vectorsExp1-4_0.2_0.1.txt
0.2,0.2,0.0004471963653518776,0.9897485575575397,output_files/vectors/vectorsExp1-4_0.2_0.2.txt
0.2,0.3,0.003958393719215473,0.9094509521593975,output_files/vectors/vectorsExp1-4_0.2_0.3.txt
0.2,0.4,0.0017643242725274288,0.9595711469125069,output_files/vectors/vectorsExp1-4_0.2_0.4.txt
0.2,0.5,0.0022527292613419283,0.9483934236808169,output_files/vectors/vectorsExp1-4_0.2_0.5.txt
0.2,0.6,0.00262492104980782,0.9398820605320369,output_files/vectors/vectorsExp1-4_0.2_0.6.txt
0.2,0.7,0.0026225171953006415,0.9399370114664152,output_files/vectors/vectorsExp1-4_0.2_0.7.txt
0.2,0.8,0.004979308297144661,0.8862396560223369,output_files/vectors/vectorsExp1-4_0.2_0.8.txt
0.2,0.9,0.0027637283098988176,0.9367094875993555,output_files/vectors/vectorsExp1-4_0.2_0.9.txt
0.2,0.95,-0.0005801969806835776,0.9866999269184442,output_files/vectors/vectorsExp1-4_0.2_0.95.txt
0.3,0.05,-0.009269960835178524,0.7899729238456817,output_files/vectors/vectorsExp1-4_0.3_0.05.txt
0.3,0.1,-0.011655381342430146,0.7377094395906925,output_files/vectors/vectorsExp1-4_0.3_0.1.txt
0.3,0.2,-0.01650413093492569,0.6353422905995585,output_files/vectors/vectorsExp1-4_0.3_0.2.txt
